REGIAO|NOME_REGIAO|SIGLA_UF|NOME_UF|Total_Pop_IBGE_2022|Total_Mun_IBGE_2022|Total_Meso|Total_Micro
CO|Centro-Oeste|DF|Distrito Federal|2923369|1|1|1
CO|Centro-Oeste|GO|Goiás|6950976|246|5|18
CO|Centro-Oeste|MS|Mato Grosso do Sul|2833742|79|4|11
CO|Centro-Oeste|MT|Mato Grosso|3784239|141|5|22
N|Norte|AC|Acre|829780|22|2|5
N|Norte|AM|Amazonas|3952262|62|4|13
N|Norte|AP|Amapá|774268|16|2|4
N|Norte|PA|Pará|8442962|144|6|22
N|Norte|RO|Rondônia|1616379|52|2|8
N|Norte|RR|Roraima|634805|15|2|4
N|Norte|TO|Tocantins|1584306|139|2|8
NE|Nordeste|AL|Alagoas|3125254|102|3|13
NE|Nordeste|BA|Bahia|14659023|417|7|32
NE|Nordeste|CE|Ceará|8936431|184|7|33
NE|Nordeste|MA|Maranhão|6800605|217|5|21
NE|Nordeste|PB|Paraíba|4030961|223|4|23
NE|Nordeste|PE|Pernambuco|9051113|185|5|19
NE|Nordeste|PI|Piauí|3270174|224|4|15
NE|Nordeste|RN|Rio Grande do Norte|3303953|167|4|19
NE|Nordeste|SE|Sergipe|2211868|75|3|13
S|Sul|PR|Paraná|11835379|399|10|39
S|Sul|RS|Rio Grande do Sul|11088065|497|7|35
S|Sul|SC|Santa Catarina|7762154|295|6|20
SE|Sudeste|ES|Espírito Santo|3975100|78|4|13
SE|Sudeste|MG|Minas Gerais|20732660|853|12|66
SE|Sudeste|RJ|Rio de Janeiro|16615526|92|6|18
SE|Sudeste|SP|São Paulo|46024937|645|15|63
